"variable","iso3c","year","value","indicator_sdg"
"SI.POV.DDAY","AZE",2020,0,"1.1.1"
"SI.POV.DDAY","AZE",2021,0,"1.1.1"
"SI.POV.DDAY","AZE",2022,0,"1.1.1"
"SI.POV.DDAY","AZE",2023,0,"1.1.1"
"SI.POV.DDAY","AZE",2024,0,"1.1.1"
"SI.POV.DDAY","AZE",2025,0,"1.1.1"
"SI.POV.DDAY","BDI",2010,75.6,"1.1.1"
"SI.POV.DDAY","BDI",2011,75.5,"1.1.1"
"SI.POV.DDAY","BDI",2012,75.2,"1.1.1"
"SI.POV.DDAY","BDI",2013,74.9,"1.1.1"
"SI.POV.DDAY","BDI",2014,74.5,"1.1.1"
"SI.POV.DDAY","BDI",2015,75.4,"1.1.1"
"SI.POV.DDAY","BDI",2016,75,"1.1.1"
"SI.POV.DDAY","BDI",2017,74.5,"1.1.1"
"SI.POV.DDAY","BDI",2018,73.6,"1.1.1"
"SI.POV.DDAY","BDI",2019,73.3,"1.1.1"
"SI.POV.DDAY","BDI",2020,74.1992,"1.1.1"
"SI.POV.DDAY","BDI",2021,74,"1.1.1"
"SI.POV.DDAY","BDI",2022,74.1992,"1.1.1"
"SI.POV.DDAY","BDI",2023,74.4979,"1.1.1"
"SI.POV.DDAY","BDI",2024,74.4464,"1.1.1"
"SI.POV.DDAY","BDI",2025,74.2673,"1.1.1"
"SI.POV.DDAY","BEL",2010,0.2,"1.1.1"
"SI.POV.DDAY","BEL",2011,0.2,"1.1.1"
"SI.POV.DDAY","BEL",2012,0.2,"1.1.1"
"SI.POV.DDAY","BEL",2013,0.2,"1.1.1"
"SI.POV.DDAY","BEL",2014,0.1,"1.1.1"
"SI.POV.DDAY","BEL",2015,0.1,"1.1.1"
"SI.POV.DDAY","BEL",2016,0.1,"1.1.1"
"SI.POV.DDAY","BEL",2017,0.2,"1.1.1"
"SI.POV.DDAY","BEL",2018,0.1,"1.1.1"
"SI.POV.DDAY","BEL",2019,0.1,"1.1.1"
"SI.POV.DDAY","BEL",2020,0.1,"1.1.1"
"SI.POV.DDAY","BEL",2021,0.1,"1.1.1"
"SI.POV.DDAY","BEL",2022,0,"1.1.1"
"SI.POV.DDAY","BEL",2023,0.1,"1.1.1"
"SI.POV.DDAY","BEL",2024,0.1,"1.1.1"
"SI.POV.DDAY","BEL",2025,0.1,"1.1.1"
"SI.POV.DDAY","BEN",2010,31.8,"1.1.1"
"SI.POV.DDAY","BEN",2011,31.9,"1.1.1"
"SI.POV.DDAY","BEN",2012,36,"1.1.1"
"SI.POV.DDAY","BEN",2013,43.3,"1.1.1"
"SI.POV.DDAY","BEN",2014,40.9,"1.1.1"
"SI.POV.DDAY","BEN",2015,41.4,"1.1.1"
"SI.POV.DDAY","BEN",2016,41.2,"1.1.1"
"SI.POV.DDAY","BEN",2017,40,"1.1.1"
"SI.POV.DDAY","BEN",2018,38.1,"1.1.1"
"SI.POV.DDAY","BEN",2019,35.1,"1.1.1"
"SI.POV.DDAY","BEN",2020,33.2,"1.1.1"
"SI.POV.DDAY","BEN",2021,29.6,"1.1.1"
"SI.POV.DDAY","BEN",2022,27,"1.1.1"
"SI.POV.DDAY","BEN",2023,25.5,"1.1.1"
"SI.POV.DDAY","BEN",2024,23.3,"1.1.1"
"SI.POV.DDAY","BEN",2025,21.9,"1.1.1"
"SI.POV.DDAY","BFA",2010,57.2,"1.1.1"
"SI.POV.DDAY","BFA",2011,55.9,"1.1.1"
"SI.POV.DDAY","BFA",2012,54.7,"1.1.1"
"SI.POV.DDAY","BFA",2013,53.5,"1.1.1"
"SI.POV.DDAY","BFA",2014,53.2,"1.1.1"
"SI.POV.DDAY","BFA",2015,52.6,"1.1.1"
"SI.POV.DDAY","BFA",2016,51.4,"1.1.1"
"SI.POV.DDAY","BFA",2017,49.9,"1.1.1"
"SI.POV.DDAY","BFA",2018,48.2,"1.1.1"
"SI.POV.DDAY","BFA",2019,46.4,"1.1.1"
"SI.POV.DDAY","BFA",2020,45.5,"1.1.1"
"SI.POV.DDAY","BFA",2021,42.0616,"1.1.1"
"SI.POV.DDAY","BFA",2022,41.7639,"1.1.1"
"SI.POV.DDAY","BFA",2023,41.171,"1.1.1"
"SI.POV.DDAY","BFA",2024,39.5936,"1.1.1"
"SI.POV.DDAY","BFA",2025,34.5858,"1.1.1"
"SI.POV.DDAY","BGD",2010,18.9,"1.1.1"
"SI.POV.DDAY","BGD",2011,18.2,"1.1.1"
"SI.POV.DDAY","BGD",2012,17.2,"1.1.1"
"SI.POV.DDAY","BGD",2013,16.6,"1.1.1"
"SI.POV.DDAY","BGD",2014,16,"1.1.1"
"SI.POV.DDAY","BGD",2015,15.2,"1.1.1"
"SI.POV.DDAY","BGD",2016,14.3,"1.1.1"
"SI.POV.DDAY","BGD",2017,12.3,"1.1.1"
"SI.POV.DDAY","BGD",2018,10.3,"1.1.1"
"SI.POV.DDAY","BGD",2019,9.1,"1.1.1"
"SI.POV.DDAY","BGD",2020,8.1,"1.1.1"
"SI.POV.DDAY","BGD",2021,6.9,"1.1.1"
"SI.POV.DDAY","BGD",2022,5.9091,"1.1.1"
"SI.POV.DDAY","BGD",2023,6.2668,"1.1.1"
