"year","region","rate","pop"
1971,"South Asia",70.8611007767868,654081362
1971,"Sub-Saharan Africa",55.2100999796019,302095262
1972,"East Asia & Pacific",81.5629054228551,1354458406
1972,"Europe & Central Asia",4.15590576188127,750728655
1972,"Latin America & Caribbean",29.2063266369318,299187510
1972,"Middle East, North Africa, Afghanistan & Pakistan",44.2977004289057,220525536.948018
1972,"North America",0.795722010222172,232167266
1972,"South Asia",73.1691084787998,668383197
1972,"Sub-Saharan Africa",55.1186295832282,310303050
1973,"East Asia & Pacific",80.8831407785576,1384872617
1973,"Europe & Central Asia",4.00222635887035,756775460
1973,"Latin America & Caribbean",26.974007480565,306451409
1973,"Middle East, North Africa, Afghanistan & Pakistan",43.9066054872567,226919914.027439
1973,"North America",0.786358925764141,234453723
1973,"South Asia",72.7182078509966,684000704
1973,"Sub-Saharan Africa",54.9042468275093,318974077
1974,"East Asia & Pacific",80.8142363071953,1413794135
1974,"Europe & Central Asia",3.8035309010915,762546552
1974,"Latin America & Caribbean",25.6239111582795,313798324
1974,"Middle East, North Africa, Afghanistan & Pakistan",43.1130839314905,233539928.333281
1974,"North America",0.857824167769009,236715025
1974,"South Asia",72.7370928210952,700247383
1974,"Sub-Saharan Africa",53.7492616537726,328098223
1975,"East Asia & Pacific",80.5330201262728,1439924471
1975,"Europe & Central Asia",3.64895850183759,768080678
1975,"Latin America & Caribbean",25.356695601214,321203546
1975,"Middle East, North Africa, Afghanistan & Pakistan",42.2486696630882,240588945.289049
1975,"North America",0.587108029346811,239169404
1975,"South Asia",70.0732795142524,717092514
1975,"Sub-Saharan Africa",54.9301852333812,337484491
1976,"East Asia & Pacific",80.1782536085448,1464017843
1976,"Europe & Central Asia",3.36760174446602,773619713
1976,"Latin America & Caribbean",23.7883191020942,328673285
1976,"Middle East, North Africa, Afghanistan & Pakistan",40.5494505567448,248039308.99739
1976,"North America",0.577685410338525,241538018
1976,"South Asia",70.2768303433627,734217635
1976,"Sub-Saharan Africa",54.4420245965843,347140248
1977,"East Asia & Pacific",78.5637132149606,1486686643
1977,"Europe & Central Asia",3.28828227789802,779117798
1977,"Latin America & Caribbean",22.3475867517533,336262441
1977,"Middle East, North Africa, Afghanistan & Pakistan",39.6591307117484,255714072.543206
1977,"North America",0.577800859200028,244018165
1977,"South Asia",67.8354699046285,751760482
1977,"Sub-Saharan Africa",54.1001754253224,356939418
1978,"East Asia & Pacific",77.7797947043308,1509404574
1978,"Europe & Central Asia",3.28972350059618,784556247
1978,"Latin America & Caribbean",21.6671995065284,344000129
1978,"Middle East, North Africa, Afghanistan & Pakistan",38.7500452054052,263678935.129463
1978,"North America",0.568036359202342,246601634
1978,"South Asia",65.6074920184776,769329109
1978,"Sub-Saharan Africa",54.8605968612117,367476902
1979,"East Asia & Pacific",77.0826192548463,1532624702
1979,"Europe & Central Asia",5.19608063675459,789862141
1979,"Latin America & Caribbean",20.1200592118728,351820083
1979,"Middle East, North Africa, Afghanistan & Pakistan",38.1976343460337,271986747.606675
1979,"North America",0.558256951520599,249310061
1979,"South Asia",68.1198927337988,787440583
1979,"Sub-Saharan Africa",54.7489707479978,378695833
1980,"East Asia & Pacific",76.3924746418724,1555437853
1980,"Europe & Central Asia",5.26264243204869,795362835
1980,"Latin America & Caribbean",16.9477409003371,359713036
1980,"Middle East, North Africa, Afghanistan & Pakistan",37.2852806247831,280706400.436465
1980,"North America",0.529215383384998,251794340
1980,"South Asia",67.3950571483164,806369775
1980,"Sub-Saharan Africa",54.5377607341756,389959247
1981,"East Asia & Pacific",75.6592393452098,1578971601
1981,"Europe & Central Asia",5.18996370789362,800542417
1981,"Latin America & Caribbean",17.8102694985978,367619244
1981,"Middle East, North Africa, Afghanistan & Pakistan",37.2308660750656,289790705.124914
1981,"North America",0.490229595977011,254339912
1981,"South Asia",65.2620814933837,825638560
1981,"Sub-Saharan Africa",55.9484317130303,401805572
1982,"East Asia & Pacific",74.8475126379519,1604829450
1982,"Europe & Central Asia",5.15044312307034,805247476
1982,"Latin America & Caribbean",18.487958768849,375568417
1982,"Middle East, North Africa, Afghanistan & Pakistan",36.833852776644,299114850.894429
1982,"North America",0.570632702633002,256835329
1982,"South Asia",64.486510243992,845349352
1982,"Sub-Saharan Africa",57.2141217675391,414407128
1983,"East Asia & Pacific",73.9463817259226,1630832277
1983,"Europe & Central Asia",5.0067830290197,809947364
1983,"Latin America & Caribbean",21.284211162469,383657148
1983,"Middle East, North Africa, Afghanistan & Pakistan",36.2975561340644,308798935.36125
1983,"North America",0.480395428053417,259213228
1983,"South Asia",62.2223973285929,865442337
1983,"Sub-Saharan Africa",59.1663905787541,426899800
1984,"East Asia & Pacific",72.4957220376369,1655640225
1984,"Europe & Central Asia",4.91788256454934,814856984
1984,"Latin America & Caribbean",20.8860795023355,391832861
1984,"Middle East, North Africa, Afghanistan & Pakistan",35.6595431822274,318928109.638678
1984,"North America",0.480372154387945,261487222
1984,"South Asia",60.7228194128339,885894499
1984,"Sub-Saharan Africa",60.2067781695038,439338948
1985,"East Asia & Pacific",71.1972819967327,1680847895
1985,"Europe & Central Asia",4.90600921053994,819874109
1985,"Latin America & Caribbean",19.3616260147564,400012327
1985,"Middle East, North Africa, Afghanistan & Pakistan",35.3128538652334,329295545.436891
1985,"North America",0.48035786409641,263821663
1985,"South Asia",58.9506245155472,906622025
1985,"Sub-Saharan Africa",60.1859613922603,452261445
1986,"East Asia & Pacific",70.1182813156054,1707242965
1986,"Europe & Central Asia",4.83785796295867,825034695
1986,"Latin America & Caribbean",13.8895943355218,408172564
1986,"Middle East, North Africa, Afghanistan & Pakistan",35.1344267138361,339864382.375967
1986,"North America",0.529347721057903,266289167
1986,"South Asia",57.4337269135269,927646189
1986,"Sub-Saharan Africa",60.1661939009178,465510912
1987,"East Asia & Pacific",68.7148140355261,1735102402
1987,"Europe & Central Asia",4.70368410327466,830294805
1987,"Latin America & Caribbean",16.6284255620338,416332693
1987,"Middle East, North Africa, Afghanistan & Pakistan",35.2021469079924,350669109.798952
1987,"North America",0.480250304648464,268791866
1987,"South Asia",56.7164776814801,948802143
1987,"Sub-Saharan Africa",60.0148188141967,479171693
1988,"East Asia & Pacific",66.5829180444681,1763320108
1988,"Europe & Central Asia",4.61362804567157,835601587
1988,"Latin America & Caribbean",17.5308128550485,424525590
1988,"Middle East, North Africa, Afghanistan & Pakistan",34.7278644289432,361557061.640518
1988,"North America",0.480171747067122,271347446
1988,"South Asia",53.8034854366129,970044151
1988,"Sub-Saharan Africa",59.6409806851113,492983652
1989,"East Asia & Pacific",65.2925670153875,1790960432
1989,"Europe & Central Asia",4.67431336096772,840881506
1989,"Latin America & Caribbean",16.8597717072922,432726590
